HUD frame time nsec:,17248000

Range Index,Elapsed Time, First Event,Last Event
0,15040,11,11
1,672,75,75
2,672,115,115
3,640,155,155
4,672,195,195
5,672,235,235
6,672,275,275
7,672,315,315
8,672,355,355
9,672,395,395
10,672,435,435
11,672,475,475
12,672,515,515
13,672,555,555
14,672,595,595
15,672,635,635
16,672,675,675
17,672,715,715
18,672,755,755
19,736,795,795
20,672,835,835
21,704,875,875
22,672,915,915
23,736,955,955
24,672,995,995
25,672,1035,1035
26,13312,1059,1059
27,640,1099,1099
28,672,1151,1151
29,736,1173,1173
30,11473696,1175,1175
