HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,15392,11,11
1,704,65,65
2,672,105,105
3,672,145,145
4,704,185,185
5,704,225,225
6,736,265,265
7,672,305,305
8,704,345,345
9,672,385,385
10,672,425,425
11,832,465,465
12,672,505,505
13,704,545,545
14,672,585,585
15,672,625,625
16,704,665,665
17,704,705,705
18,672,745,745
19,672,785,785
20,736,825,825
21,672,865,865
22,864,905,905
23,672,945,945
24,704,985,985
25,736,1025,1025
26,28736,1059,1059
27,704,1113,1113
28,704,1151,1151
29,800,1173,1173
30,12339328,1175,1175
